1 2 0 4
2 3 0 5
3 4 0 6
4 5 0 7
5 6 0 8
6 7 0 9
7 8 0 10
9 10 0 14
10 1 0 15
18 11 0 16
11 12 0 17
12 13 0 18
13 14 0 19
14 15 0 20
15 16 0 21
16 17 0 22
19 20 1 24
20 17 1 23
17 8 0 1
8 21 1 11
21 22 1 12
22 9 1 13
9 18 0 1
18 19 1 25
23 24 2 4
24 25 2 5
25 26 2 6
26 27 2 7
27 28 2 8
28 29 2 9
29 30 2 10 
31 32 2 14
32 23 2 15
40 33 2 16
33 34 2 17
34 35 2 18
35 36 2 19
36 37 2 20
37 38 2 21
38 39 2 22
42 41 2 24
42 39 2 23
39 30 2 3
30 43 2 11
43 44 2 12
41 40 2 25
40 31 2 3
31 44 2 13
1 23 4 15
2 24 4 5
3 25 5 6
4 26 6 7
5 27 7 8
6 28 8 9
7 29 9 10
8 30 10 11
9 31 13 14
10 32 14 15
18 40 25 16
11 33 16 17
12 34 17 18
13 35 18 19
14 36 19 20
15 37 20 21
16 38 21 22
17 39 22 23
19 41 24 25
20 42 23 24
22 44 12 13
21 43 11 12
-1
Lines data for block uppercase Q.
Example for COMP 4560, Assignment 2
Indicates which points must be joined by lines to form
     the character.
Goes with accompanying points.dat file.

