19 1 10 9 18 11 12 13 14 15 16 17 8 7 6 5 4 3 2 1
5 22 21 20 19 22
19 23 24 25 26 27 28 29 30 39 38 37 36 35 34 33 40 31 32 23
5 41 42 43 44 41
5 1 2 24 23 1
5 2 3 25 24 2
5 3 4 26 25 3
5 4 5 27 26 4
5 5 6 28 27 5
5 6 7 29 28 6
5 30 29 7 8 30
5 8 21 43 30 8
5 44 43 21 22 44
5 22 9 31 44 22
5 32 31 9 10 32
5 1 23 32 10 1
5 11 18 40 33 11
5 12 11 33 34 12
5 34 35 13 12 34
5 35 36 14 13 35
5 36 37 15 14 36
5 37 38 16 15 37
5 17 16 38 39 17
5 39 42 20 17 39
5 19 20 42 41 19
5 18 19 41 40 18
-1
face specification for 3d letter Q
