10 10 10
16 6.833 0
16 13 0
13 16 0
7 16 0
4 13 0
4 7 0
7 4 0
13.167 4 0
18.693 3.692 0
20 5 0
20 15 0
15 20 0
5 20 0
0 15 0
0 5 0
5 0 0
15 0 0
15 8 0
12 5 0
16.308 1.308 0
19 -1 0
21 1 0
16 6.833 20
16 13 20
13 16 20
7 16 20
4 13 20
4 7 20
7 4 20
13.167 4 20
18.692 3.692 20
20 5 20
20 15 20
15 20 20
5 20 20
0 15 20
0 5 20
5 0 20
15 0 20
15 8 20
12 5 20
16.308 1.308 20
19 -1 20
21 1 20
-1 
Vertex coordinates for block uppercase 3D Q.
Used in COMP 4560 example program for Assignment 5.
200810 Term version

