1 2
2 3
3 4
4 5
5 6
6 7
7 8
9 10
10 11
11 12
12 13
13 14
14 15
15 16
16 17
17 20
19 21
21 22
22 18
18 19
23 24
24 25
25 26
26 27
27 28
28 29
29 30
31 32
32 33
33 34
34 35
35 36
36 37
37 38
38 39
39 42
41 43
43 44
44 40
40 41
1 23
2 24
3 25
4 26
5 27
6 28
7 29
8 30
9 31
10 32
11 33
12 34
13 35
14 36
15 37
16 38
17 39
18 40
19 41
20 42
21 43
22 44
-1
Lines data for 3D block uppercase Q.
Example for COMP 4560, Assignment 5 (200810)
Indicates which points must be joined by lines to form
     the character.
Goes with accompanying points.dat file.

