203.202.125.6.
,216.113.10.50
,1,vlan299.52gdc76ue2.optus.net.au(203.202.125.3),4.000,0.000,0.000
,2,ge-5-0-0-0.laxow-cr2.ix.singtel.com(203.208.183.157),152.000,148.000,152.000
,3,203.208.145.82,156.000,152.000,if-0-21.icore1.LAA-LosAngeles.as6453.net(209.58.53.13),160.000
,4,if-0-0-0-20.mcore3.LAA-LosAngeles.as6453.net(216.6.84.13),148.000,if-12-0-0-10.mcore3.LAA-LosAngeles.as6453.net(209.58.85.89),148.000,if-0-0-0-20.mcore3.LAA-LosAngeles.as6453.net(216.6.84.13),148.000
,5,if-4-0.mcore3.NJY-Newark.as6453.net(216.6.84.2),224.000,224.000,224.000
,6,if-14-0-0-726.core2.NTO-NewYork.as6453.net(216.6.57.58),228.000,224.000,224.000
,7,if-5-0.mcore4.MTT-Montreal.as6453.net(216.6.115.21),236.000,232.000,296.000
,8,216.113.122.89,240.000,240.000,240.000
,9,216.113.122.29,240.000,228.000,228.000
,10,ia-piex-gw06-vl10.vtl.net(207.253.253.138),228.000,228.000,228.000
,11,[FW],[FW],[FW]
,route-views.ab.bb.telus.com(154.11.98.18)
,1,vlan299.52gdc76ue2.optus.net.au(203.202.125.3),0.000,0.000,0.000
,2,ge-7-0-0-0.plapx-dr1.ix.singtel.com(203.208.183.178),164.000,160.000,160.000
,3,203.208.154.46,160.000,164.000,160.000
,4,CLGRAB21GR01.bb.telus.com(154.11.10.217),216.000,220.000,216.000
,5,route-views.ab.bb.telus.com(154.11.98.18),216.000,[NR],212.000
,route-server.east.bb.allstream.net(216.191.14.250)
,1,vlan299.52gdc76ue2.optus.net.au(203.202.125.3),104.000,0.000,0.000
,2,POS3-6.sngtp-ar2.ix.singtel.com(203.208.182.213),160.000,160.000,ge-7-0-0-0.plapx-dr1.ix.singtel.com(203.208.183.178),164.000
,3,gwy1-sea.bb.allstream.net(198.32.176.187),180.000,176.000,180.000
,4,[FW],[FW],[FW]
,216.18.63.214
,1,vlan299.52gdc76ue2.optus.net.au(203.202.125.3),0.000,0.000,4.000
,2,ge-7-0-0-0.plapx-dr1.ix.singtel.com(203.208.183.178),160.000,POS3-6.sngtp-ar2.ix.singtel.com(203.208.182.213),236.000,160.000
,3,GE5-0-PEERA-STTLWA.IP.GROUPTELECOM.NET(198.32.176.22),160.000,160.000,164.000
